  Training |   298 | Steps:  7 | Time:  428 | Loss:   4.33224 | Score:  0
  Training |   299 | Steps: 13 | Time:  551 | Loss:   3.61992 | Score:  0
  Training |   300 | Steps: 21 | Time:  742 | Loss:   3.61821 | Score:  0
  Training |   301 | Steps:  9 | Time:  433 | Loss:   3.49917 | Score:  0
  Training |   302 | Steps:  7 | Time:  429 | Loss:   3.56991 | Score:  0
  Training |   303 | Steps:  7 | Time:  442 | Loss:   3.68656 | Score:  0
  Training |   304 | Steps: 43 | Time: 1151 | Loss:   3.56755 | Score:  0
  Training |   305 | Steps:  8 | Time:  465 | Loss:   3.32943 | Score:  0
  Training |   306 | Steps: 12 | Time:  543 | Loss:   3.23056 | Score:  0
  Training |   307 | Steps:  6 | Time:  462 | Loss:   3.35770 | Score:  0
  Training |   308 | Steps: 14 | Time:  553 | Loss:   3.19057 | Score:  0
  Training |   309 | Steps: 44 | Time: 1176 | Loss:   3.63165 | Score:  0
  Training |   310 | Steps: 10 | Time:  521 | Loss:   3.38284 | Score:  0
  Training |   311 | Steps:  7 | Time:  429 | Loss:   3.46838 | Score:  0
  Training |   312 | Steps: 17 | Time:  680 | Loss:   3.08762 | Score:  0
  Training |   313 | Steps: 12 | Time:  546 | Loss:   3.73592 | Score:  0
  Training |   314 | Steps:  6 | Time:  414 | Loss:   3.59485 | Score:  0
  Training |   315 | Steps:  9 | Time:  482 | Loss:   3.56441 | Score:  0
  Training |   316 | Steps:  9 | Time:  453 | Loss:   3.03643 | Score:  0
  Training |   317 | Steps: 13 | Time:  554 | Loss:   3.28641 | Score:  0
  Training |   318 | Steps: 28 | Time:  817 | Loss:   3.44721 | Score:  0
  Training |   319 | Steps: 10 | Time:  475 | Loss:   3.64768 | Score:  0
  Training |   320 | Steps: 23 | Time:  716 | Loss:   3.43151 | Score:  0
  Training |   321 | Steps: 33 | Time:  965 | Loss:   3.37126 | Score:  1
  Training |   322 | Steps:  9 | Time:  458 | Loss:   3.61535 | Score:  0
  Training |   323 | Steps:  9 | Time:  502 | Loss:   3.25070 | Score:  0
  Training |   324 | Steps:  7 | Time:  430 | Loss:   3.80976 | Score:  0
  Training |   325 | Steps: 33 | Time:  965 | Loss:   3.50119 | Score:  1
  Training |   326 | Steps: 12 | Time:  523 | Loss:   3.36099 | Score:  0
