  Training |   316 | Steps:  6 | Time:  367 | Loss:   0.89401 | Score:  0
  Training |   317 | Steps:  6 | Time:  336 | Loss:   0.49663 | Score:  0
  Training |   318 | Steps:  6 | Time:  348 | Loss:   0.97607 | Score:  0
  Training |   319 | Steps: 38 | Time:  779 | Loss:   0.57122 | Score:  0
  Training |   320 | Steps:  7 | Time:  395 | Loss:   0.61707 | Score:  0
  Training |   321 | Steps:  7 | Time:  407 | Loss:   0.34725 | Score:  0
  Training |   322 | Steps: 11 | Time:  454 | Loss:   0.52295 | Score:  0
  Training |   323 | Steps: 15 | Time:  456 | Loss:   0.67819 | Score:  0
  Training |   324 | Steps: 10 | Time:  416 | Loss:   0.42109 | Score:  1
  Training |   325 | Steps: 18 | Time:  533 | Loss:   0.61286 | Score:  1
  Training |   326 | Steps:  9 | Time:  419 | Loss:   0.55756 | Score:  0
  Training |   327 | Steps:  6 | Time:  368 | Loss:   0.58826 | Score:  0
  Training |   328 | Steps: 27 | Time:  621 | Loss:   0.60044 | Score:  0
  Training |   329 | Steps: 12 | Time:  477 | Loss:   0.54582 | Score:  1
  Training |   330 | Steps: 17 | Time:  475 | Loss:   0.47923 | Score:  0
  Training |   331 | Steps:  7 | Time:  396 | Loss:   0.57442 | Score:  0
  Training |   332 | Steps: 15 | Time:  524 | Loss:   0.59249 | Score:  0
  Training |   333 | Steps: 13 | Time:  445 | Loss:   0.46768 | Score:  1
  Training |   334 | Steps:  6 | Time:  374 | Loss:   0.69180 | Score:  0
  Training |   335 | Steps:  6 | Time:  400 | Loss:   0.48223 | Score:  0
  Training |   336 | Steps: 11 | Time:  425 | Loss:   0.59190 | Score:  0
  Training |   337 | Steps: 21 | Time:  545 | Loss:   0.56163 | Score:  0
  Training |   338 | Steps:  6 | Time:  337 | Loss:   0.63679 | Score:  0
  Training |   339 | Steps:  6 | Time:  351 | Loss:   0.49575 | Score:  0
  Training |   340 | Steps:  8 | Time:  450 | Loss:   0.54182 | Score:  0
  Training |   341 | Steps:  6 | Time:  372 | Loss:   0.55539 | Score:  0
  Training |   342 | Steps: 33 | Time:  729 | Loss:   0.50695 | Score:  1
  Training |   343 | Steps: 18 | Time:  550 | Loss:   0.68188 | Score:  0
  Training |   344 | Steps: 10 | Time:  432 | Loss:   0.48194 | Score:  0
  Training |   345 | Steps: 34 | Time:  757 | Loss:   0.64056 | Score:  0
  Training |   346 | Steps:  6 | Time:  335 | Loss:   0.42724 | Score:  0
  Training |   347 | Steps:  6 | Time:  342 | Loss:   0.47413 | Score:  0
  Training |   348 | Steps:  6 | Time:  353 | Loss:   0.29466 | Score:  0
  Training |   349 | Steps:  6 | Time:  342 | Loss:   0.51740 | Score:  1
