  Training |   256 | Steps: 15 | Time:  573 | Loss:   4.27503 | Score:  0
  Training |   257 | Steps: 16 | Time:  627 | Loss:   4.46681 | Score:  0
  Training |   258 | Steps: 35 | Time:  969 | Loss:   4.05947 | Score:  1
  Training |   259 | Steps: 10 | Time:  453 | Loss:   4.70858 | Score:  0
  Training |   260 | Steps:  6 | Time:  415 | Loss:   4.02861 | Score:  1
  Training |   261 | Steps: 22 | Time:  687 | Loss:   4.19870 | Score:  0
  Training |   262 | Steps:  6 | Time:  384 | Loss:   3.62765 | Score:  0
  Training |   263 | Steps: 12 | Time:  525 | Loss:   5.01042 | Score:  0
  Training |   264 | Steps: 14 | Time:  582 | Loss:   4.43311 | Score:  0
  Training |   265 | Steps: 20 | Time:  639 | Loss:   4.56847 | Score:  0
  Training |   266 | Steps: 20 | Time:  694 | Loss:   4.58272 | Score:  1
  Training |   267 | Steps:  6 | Time:  405 | Loss:   4.30252 | Score:  0
  Training |   268 | Steps:  6 | Time:  409 | Loss:   4.60092 | Score:  0
  Training |   269 | Steps: 12 | Time:  573 | Loss:   4.20640 | Score:  0
  Training |   270 | Steps:  9 | Time:  501 | Loss:   4.90327 | Score:  0
  Training |   271 | Steps: 10 | Time:  490 | Loss:   4.15895 | Score:  0
  Training |   272 | Steps: 41 | Time: 1209 | Loss:   4.46939 | Score:  0
  Training |   273 | Steps:  6 | Time:  512 | Loss:   4.27228 | Score:  0
  Training |   274 | Steps: 10 | Time:  614 | Loss:   3.85749 | Score:  1
  Training |   275 | Steps: 24 | Time:  908 | Loss:   4.13767 | Score:  1
  Training |   276 | Steps: 20 | Time:  725 | Loss:   4.28048 | Score:  0
  Training |   277 | Steps: 23 | Time:  736 | Loss:   4.41571 | Score:  0
  Training |   278 | Steps:  7 | Time:  442 | Loss:   4.29019 | Score:  1
  Training |   279 | Steps:  8 | Time:  405 | Loss:   3.91934 | Score:  0
  Training |   280 | Steps: 15 | Time:  552 | Loss:   4.19404 | Score:  0
  Training |   281 | Steps:  8 | Time:  481 | Loss:   4.40088 | Score:  0
  Training |   282 | Steps:  8 | Time:  483 | Loss:   3.90001 | Score:  0
