  Training |   251 | Steps:  7 | Time:  590 | Loss:   0.68344 | Score:  0
  Training |   252 | Steps:  9 | Time:  605 | Loss:   0.44106 | Score:  0
  Training |   253 | Steps:  6 | Time:  513 | Loss:   0.99280 | Score:  0
  Training |   254 | Steps:  6 | Time:  492 | Loss:   0.66251 | Score:  0
  Training |   255 | Steps: 21 | Time: 1017 | Loss:   0.64522 | Score:  0
  Training |   256 | Steps:  8 | Time:  573 | Loss:   0.50068 | Score:  0
  Training |   257 | Steps: 14 | Time:  765 | Loss:   0.62379 | Score:  0
  Training |   258 | Steps: 20 | Time: 1024 | Loss:   0.50487 | Score:  1
  Training |   259 | Steps: 19 | Time: 1002 | Loss:   0.59153 | Score:  1
  Training |   260 | Steps:  6 | Time:  501 | Loss:   0.75470 | Score:  0
  Training |   261 | Steps:  6 | Time:  485 | Loss:   0.65408 | Score:  0
  Training |   262 | Steps: 11 | Time:  651 | Loss:   0.57912 | Score:  0
  Training |   263 | Steps:  9 | Time:  614 | Loss:   0.66475 | Score:  0
  Training |   264 | Steps:  7 | Time:  549 | Loss:   0.46577 | Score:  0
  Training |   265 | Steps:  9 | Time:  620 | Loss:   0.76957 | Score:  1
  Training |   266 | Steps:  8 | Time:  582 | Loss:   0.75533 | Score:  0
  Training |   267 | Steps:  9 | Time:  584 | Loss:   0.59013 | Score:  0
  Training |   268 | Steps: 11 | Time:  695 | Loss:   0.60238 | Score:  1
  Training |   269 | Steps:  6 | Time:  505 | Loss:   0.53710 | Score:  0
  Training |   270 | Steps:  8 | Time:  547 | Loss:   0.50087 | Score:  0
  Training |   271 | Steps: 14 | Time:  771 | Loss:   0.52239 | Score:  0
  Training |   272 | Steps:  8 | Time:  554 | Loss:   0.61790 | Score:  0
  Training |   273 | Steps:  7 | Time:  520 | Loss:   0.62926 | Score:  0
  Training |   274 | Steps: 21 | Time: 1063 | Loss:   0.56369 | Score:  1
  Training |   275 | Steps: 11 | Time:  662 | Loss:   0.55921 | Score:  0
  Training |   276 | Steps: 26 | Time: 1242 | Loss:   0.57441 | Score:  0
  Training |   277 | Steps:  8 | Time:  565 | Loss:   0.73779 | Score:  0
  Training |   278 | Steps:  7 | Time:  521 | Loss:   0.83234 | Score:  0
  Training |   279 | Steps: 30 | Time: 1369 | Loss:   0.67796 | Score:  0
  Training |   280 | Steps: 28 | Time: 1299 | Loss:   0.58489 | Score:  0
  Training |   281 | Steps: 27 | Time: 1275 | Loss:   0.65372 | Score:  0
  Training |   282 | Steps:  6 | Time:  473 | Loss:   0.35814 | Score:  0
  Training |   283 | Steps: 13 | Time:  744 | Loss:   0.41698 | Score:  0
  Training |   284 | Steps: 12 | Time:  717 | Loss:   0.51201 | Score:  0
  Training |   285 | Steps:  7 | Time:  516 | Loss:   0.52933 | Score:  0
  Training |   286 | Steps:  8 | Time:  585 | Loss:   0.76313 | Score:  0
  Training |   287 | Steps: 57 | Time: 2310 | Loss:   0.57160 | Score:  0
  Training |   288 | Steps: 16 | Time:  853 | Loss:   0.55341 | Score:  0
  Training |   289 | Steps:  6 | Time:  525 | Loss:   0.83824 | Score:  0
  Training |   290 | Steps: 28 | Time: 1265 | Loss:   0.57366 | Score:  0
  Training |   291 | Steps: 11 | Time:  710 | Loss:   0.58521 | Score:  0
  Training |   292 | Steps: 25 | Time: 1173 | Loss:   0.50602 | Score:  1
  Training |   293 | Steps: 10 | Time:  647 | Loss:   0.41044 | Score:  0
  Training |   294 | Steps: 17 | Time:  897 | Loss:   0.60041 | Score:  0
  Training |   295 | Steps:  9 | Time:  596 | Loss:   0.77530 | Score:  0
  Training |   296 | Steps: 12 | Time:  718 | Loss:   0.65369 | Score:  0
  Training |   297 | Steps:  7 | Time:  517 | Loss:   0.52991 | Score:  0
  Training |   298 | Steps:  8 | Time:  582 | Loss:   0.63905 | Score:  0
  Training |   299 | Steps: 27 | Time: 1226 | Loss:   0.65680 | Score:  0
  Training |   300 | Steps:  6 | Time:  494 | Loss:   0.54040 | Score:  1
  Training |   301 | Steps: 24 | Time: 1126 | Loss:   0.58996 | Score:  0
